Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	BW 50% (Hz)	BW 90% (Hz)	Center Time Rel.	Time 5% Rel.	Time 25% Rel.	Time 75% Rel.	Time 95% Rel.	Dur 50% (s)	Dur 90% (s)	colour	source	type	site
1	Spectrogram 1	1	999.771356169	999.922109885	42.6	1279.2	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	1.7714	187.5	46.875	93.75	421.875	1054.688	328.125	1007.812	0.5	0	0.1667	0.6667	1	0.064	0.128	green	NA	NA	LVR
5	Spectrogram 1	1	1004.670851955	1004.809042862	64	1215.2	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	6.6709	210.938	70.312	117.188	445.312	1031.25	328.125	960.938	0.5	0	0.1667	0.6667	1	0.064	0.128	green	NA	NA	LVR
7	Spectrogram 1	1	1012.824115456	1012.999994792	21.3	852.8	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	14.8241	117.188	23.438	46.875	257.812	656.25	210.938	632.812	0.5714	0	0.1429	0.7143	1	0.0853	0.1493	green	NA	NA	LVR
8	Spectrogram 1	1	1029.959787898	1030.123104424	21.3	1087.3	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	31.9598	140.625	23.438	70.312	304.688	890.625	234.375	867.188	0.5714	0	0.1429	0.7143	1	0.0853	0.1493	green	NA	NA	LVR
9	Spectrogram 1	1	1057.208522155	1057.346713062	319.8	2387.8	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	59.2085	1078.125	351.562	539.062	1710.938	2273.438	1171.875	1921.875	0.5	0	0.1667	0.8333	1	0.0853	0.128	green	NA	NA	LVR
12	Spectrogram 1	1	1056.618070099	1057.43465273	191.9	2451.8	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	58.6181	1054.688	257.812	585.938	1523.438	2226.562	937.5	1968.75	0.5789	0.0526	0.3947	0.7895	0.8947	0.32	0.6827	green	NA	NA	LVR
13	Spectrogram 1	1	1039.75877947	1039.922095996	191.9	3389.8	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	41.7588	1031.25	210.938	375	2132.812	3117.188	1757.812	2906.25	0.4286	0	0.1429	0.7143	1	0.0853	0.1493	green	NA	NA	LVR
16	Spectrogram 1	1	1034.281394437	1034.407022535	42.6	2366.5	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	36.2814	234.375	46.875	93.75	867.188	2039.062	773.438	1992.188	0.6	0	0.2	0.8	1	0.064	0.1067	green	NA	NA	LVR
17	Spectrogram 1	1	1034.394459725	1034.520087822	42.6	1385.8	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	36.3945	187.5	46.875	93.75	445.312	1171.875	351.562	1125	0.6	0	0.2	0.8	1	0.064	0.1067	green	NA	NA	LVR
18	Spectrogram 1	1	1034.268831628	1034.545213441	42.6	2387.8	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	36.2688	257.812	46.875	117.188	984.375	2085.938	867.188	2039.062	0.4167	0	0.1667	0.75	1	0.1493	0.256	green	NA	NA	LVR
19	Spectrogram 1	1	1035.600489457	1035.726117554	213.2	2814.2	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	37.6005	1007.812	234.375	445.312	1875	2671.875	1429.688	2437.5	0.4	0	0.2	0.8	1	0.064	0.1067	green	NA	NA	LVR
20	Spectrogram 1	1	1035.211042356	1035.324107643	213.2	2856.9	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	37.211	1031.25	234.375	421.875	1921.875	2718.75	1500	2484.375	0.5	0	0	0.75	1	0.064	0.0853	green	NA	NA	LVR
22	Spectrogram 1	1	1039.256267082	1039.407020798	106.6	3986.8	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	41.2563	867.188	140.625	234.375	2273.438	3609.375	2039.062	3468.75	0.5	0	0.1667	0.8333	1	0.0853	0.128	green	NA	NA	LVR
23	Spectrogram 1	1	1039.469834847	1039.582900134	170.6	3411.2	S1130_048K_LVR_10458035_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250519_150000.flac	41.4698	960.938	187.5	328.125	2132.812	3070.312	1804.688	2882.812	0.5	0	0.25	0.75	1	0.0427	0.0853	green	NA	NA	LVR
