Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	BW 50% (Hz)	BW 90% (Hz)	Center Time Rel.	Time 5% Rel.	Time 25% Rel.	Time 75% Rel.	Time 95% Rel.	Dur 50% (s)	Dur 90% (s)	colour	source	type	site	pulse count
11	Spectrogram 1	1	8.467700000	8.718595970	0.000	571.400	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	8.4677	93.750	0.000	23.438	164.062	445.312	140.625	445.312	0.3636	0.0000	0.1818	0.7273	1.0000	0.1280	0.2347	green	aquatic	harmonic	MGV	
19	Spectrogram 1	1	13.476700000	13.754477682	0.000	717.900	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	13.4767	93.750	0.000	46.875	187.500	539.062	140.625	539.062	0.4167	0.0000	0.1667	0.7500	1.0000	0.1493	0.2560	green	aquatic	harmonic	MGV	
29	Spectrogram 1	1	20.095700000	20.678137074	0.000	615.400	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	20.0957	164.062	23.438	70.312	257.812	515.625	187.500	492.188	0.6296	0.0370	0.2593	0.9630	1.0000	0.4053	0.5547	green	aquatic	harmonic	MGV	
38	Spectrogram 1	1	28.252700000	28.449832548	0.000	410.300	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	28.2527	70.312	0.000	23.438	117.188	328.125	93.750	328.125	0.5000	0.0000	0.1250	0.6250	1.0000	0.0853	0.1707	green	aquatic	harmonic	MGV	
39	Spectrogram 1	1	29.614700000	29.767029696	0.000	1084.200	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	29.6147	70.312	0.000	23.438	164.062	726.562	140.625	726.562	0.5000	0.0000	0.1667	0.8333	1.0000	0.0853	0.1280	green	aquatic	harmonic	MGV	
56	Spectrogram 1	1	44.764900000	45.177086237	0.000	1011.000	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	44.7649	117.188	0.000	46.875	234.375	726.562	187.500	726.562	0.4444	0.0556	0.2222	0.7778	0.9444	0.2133	0.3413	green	aquatic	harmonic	MGV	
72	Spectrogram 1	1	611.702500000	611.908593118	0.000	805.900	S1130_048K_MGV_10457639_20250519_151500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_151500.flac	11.7025	93.750	0.000	46.875	304.688	609.375	257.812	609.375	0.3333	0.0000	0.1111	0.6667	1.0000	0.1067	0.1920	green	aquatic	chain	MGV	2
104	Spectrogram 1	1	627.110900000	627.469322814	0.000	630.000	S1130_048K_MGV_10457639_20250519_151500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_151500.flac	27.1109	93.750	0.000	46.875	257.812	539.062	210.938	539.062	0.3125	0.0000	0.1250	0.6875	0.9375	0.1920	0.3200	green	aquatic	harmonic	MGV	
107	Spectrogram 1	1	628.661100000	628.911995970	0.000	893.800	S1130_048K_MGV_10457639_20250519_151500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_151500.flac	28.6611	93.750	0.000	46.875	328.125	632.812	281.250	632.812	0.2727	0.0000	0.0909	0.6364	0.9091	0.1280	0.2133	green	aquatic	chain	MGV	2
124	Spectrogram 1	1	637.561300000	638.349830192	0.000	923.100	S1130_048K_MGV_10457639_20250519_151500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_151500.flac	37.5613	140.625	23.438	70.312	398.438	679.688	328.125	656.250	0.5833	0.0278	0.2222	0.9167	0.9722	0.5333	0.7253	green	aquatic	chain	MGV	3
145	Spectrogram 1	1	647.553800000	648.046631370	14.700	1098.900	S1130_048K_MGV_10457639_20250519_151500.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_151500.flac	47.5538	140.625	23.438	70.312	421.875	843.750	351.562	820.312	0.4091	0.0000	0.1364	0.7727	0.9545	0.2987	0.4480	green	aquatic	chain	MGV	3
161	Spectrogram 1	1	1205.466000000	1205.806501674	0.000	410.300	S1130_048K_MGV_10457639_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_153000.flac	5.4660	93.750	23.438	70.312	187.500	328.125	117.188	304.688	0.5333	0.0667	0.2000	0.8667	1.0000	0.2133	0.2987	green	aquatic	chain	MGV	2
175	Spectrogram 1	1	1211.998200000	1212.419346807	0.000	1054.900	S1130_048K_MGV_10457639_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_153000.flac	11.9982	117.188	23.438	70.312	257.812	585.938	187.500	562.500	0.6316	0.0526	0.2105	0.8421	1.0000	0.2560	0.3840	green	aquatic	pulse	MGV	
179	Spectrogram 1	1	1220.537600000	1220.734732548	0.000	439.600	S1130_048K_MGV_10457639_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_153000.flac	20.5376	93.750	0.000	70.312	210.938	351.562	140.625	351.562	0.3750	0.0000	0.2500	0.6250	1.0000	0.0640	0.1707	green	aquatic	chain	MGV	2
181	Spectrogram 1	1	1221.917600000	1222.222259392	0.000	468.900	S1130_048K_MGV_10457639_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_153000.flac	21.9176	117.188	0.000	70.312	234.375	398.438	164.062	398.438	0.3846	0.0769	0.2308	0.7692	1.0000	0.1493	0.2560	green	aquatic	chain	MGV	2
186	Spectrogram 1	1	1224.847700000	1225.179241104	0.000	1098.900	S1130_048K_MGV_10457639_20250519_153000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_153000.flac	24.8477	117.188	23.438	70.312	281.250	585.938	210.938	562.500	0.5333	0.0667	0.2000	0.8667	1.0000	0.2133	0.2987	green	aquatic	chain	MGV	3
