Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	BW 50% (Hz)	BW 90% (Hz)	Center Time Rel.	Time 5% Rel.	Time 25% Rel.	Time 75% Rel.	Time 95% Rel.	Dur 50% (s)	Dur 90% (s)	colour	source	type	site
1	Spectrogram 1	1	662593.580521792	662593.705969777	0	410.3	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	1.7563	70.312	0	23.438	117.188	304.688	93.75	304.688	0.5	0	0.25	1	1	0.064	0.0853	green	NA	NA	MGV
3	Spectrogram 1	1	662596.429983168	662596.698800279	0	1157.5	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	4.6057	93.75	0	46.875	234.375	820.312	187.5	820.312	0.4167	0	0.25	0.75	1	0.128	0.256	green	NA	NA	MGV
8	Spectrogram 1	1	662598.643244048	662598.795573744	58.6	468.9	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	6.819	117.188	70.312	93.75	187.5	398.438	93.75	328.125	0.5	0	0.1667	0.6667	1	0.064	0.128	green	NA	NA	MGV
10	Spectrogram 1	1	662599.817078766	662600.274067855	0	2652	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	7.9928	164.062	0	70.312	562.5	2062.5	492.188	2062.5	0.45	0.05	0.2	0.75	0.95	0.2347	0.384	green	NA	NA	MGV
11	Spectrogram 1	1	662600.291988995	662600.542884965	0	571.4	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	8.4677	93.75	0	23.438	164.062	445.312	140.625	445.312	0.3636	0	0.1818	0.7273	1	0.128	0.2347	green	NA	NA	MGV
13	Spectrogram 1	1	662602.442525883	662602.791988127	0	322.3	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	10.6183	70.312	0	23.438	140.625	257.812	117.188	257.812	0.3333	0	0.2	0.7333	1	0.1707	0.32	green	NA	NA	MGV
14	Spectrogram 1	1	662603.661163453	662603.876217141	0	1011	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	11.8369	93.75	0	23.438	234.375	726.562	210.938	726.562	0.4444	0	0.1111	0.6667	1	0.1067	0.192	green	NA	NA	MGV
15	Spectrogram 1	1	662602.989120675	662603.670124023	0	424.9	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	11.1649	164.062	23.438	70.312	234.375	328.125	164.062	304.688	0.8387	0.0323	0.3548	0.9032	1	0.3627	0.64	green	NA	NA	MGV
16	Spectrogram 1	1	662604.32424566	662604.81707703	0	424.9	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	12.5	93.75	0	46.875	187.5	351.562	140.625	351.562	0.4545	0.0455	0.1818	0.7273	0.9545	0.256	0.4267	green	NA	NA	MGV
17	Spectrogram 1	1	662604.852919311	662604.987327867	0	791.2	S1130_048K_MGV_10457639_20250519_150000.flac	\\ag-clo-sa36102.ad.cornell.edu\W2\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250519_150000.flac	13.0287	70.312	0	23.438	140.625	539.062	117.188	539.062	0.6	0	0.2	0.8	1	0.064	0.1067	green	NA	NA	MGV
