Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Sample date,9  Be  [ He ] ,23  Na  [ He ] ,24  Mg  [ He ] ,27  Al  [ He ] ,39  K  [ He ] ,44  Ca  [ He ] ,51  V  [ He ] ,52  Cr  [ He ] ,55  Mn  [ He ] ,56  Fe  [ He ] ,59  Co  [ He ] ,60  Ni  [ He ] ,63  Cu  [ He ] ,66  Zn  [ He ] ,75  As  [ He ] ,78  Se  [ He ] ,95  Mo  [ He ] ,107  Ag  [ He ] ,111  Cd  [ He ] ,123  Sb  [ He ] ,135  Ba  [ He ] ,205  Tl  [ He ] ,208  Pb  [ He ] ,232  Th  [ He ] ,238  U  [ He ] ,45  Sc ( ISTD )  [ He ] ,74  Ge ( ISTD )  [ He ] ,89  Y ( ISTD )  [ He ] ,115  In ( ISTD )  [ He ] ,159  Tb ( ISTD )  [ He ] ,209  Bi ( ISTD )  [ He ] 
FALSE,003CALB.d,4/23/2026 12:34,CalBlk,1,std1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
FALSE,004CALS.d,4/23/2026 12:38,CalStd,2,std2,,0.144799145,35.43264532,13.93797361,0.31676345,11.13619767,13.2409318,0.137226338,0.135405942,0.140632496,13.91191523,0.132501684,0.138797796,0.153848657,<0.000,0.124511809,0.088607942,0.146198346,0.135652201,0.135248681,0.111578338,0.12287843,0.132213168,0.125896714,0.063402541,0.131110959,N/A,N/A,N/A,N/A,N/A,N/A
FALSE,005CALS.d,4/23/2026 12:42,CalStd,3,std3,,1.333855654,163.9764599,138.4760698,1.666462005,135.4925871,141.7809346,1.34110217,1.379067251,1.370988674,138.0570922,1.37439596,1.37476387,1.436647987,1.161859251,1.341320553,1.237742256,1.325426619,1.377275925,1.332441788,1.169247421,1.325112642,1.316862651,1.31631557,1.007341408,1.309897203,N/A,N/A,N/A,N/A,N/A,N/A
FALSE,006CALS.d,4/23/2026 12:45,CalStd,4,std4,,9.907975193,1039.996176,1028.189277,10.53716411,1011.070199,1025.270792,9.930013382,10.0632275,10.07356016,1015.281301,10.26790522,10.29782222,10.49378018,9.946249481,10.02133857,10.00870862,9.66780395,10.2616705,10.12219743,9.085049397,9.809443852,10.05010242,9.957425518,9.387051994,9.885653971,N/A,N/A,N/A,N/A,N/A,N/A
FALSE,007CALS.d,4/23/2026 12:49,CalStd,5,std5,,100.0058191,9995.335185,9996.792374,99.93940221,9998.536918,9997.051871,100.0035504,99.98985117,99.98889347,9998.087387,99.96943302,99.96643134,99.94620165,100.0039676,99.99442843,99.99676311,100.0299191,99.97002454,99.98442059,100.089791,100.0157816,99.99178892,100.0010684,100.061258,100.0083045,N/A,N/A,N/A,N/A,N/A,N/A
FALSE,008SMPL.d,4/23/2026 12:53,Sample,,Rinse,,0,1.358753832,0.048068084,0.095204995,<0.000,0.694510943,0.000584266,0.008914949,<0.000,0.405118469,0.00044391,0.013488398,0.015496621,<0.000,0.034493373,0.119527972,0.167022319,0.003290181,0.00477997,0.827797086,0.002538598,0.026152178,0.013630104,0.088923302,0.002834064,N/A,N/A,N/A,N/A,N/A,N/A
FALSE,009_QC1.d,4/23/2026 12:57,QC1,,std4,,9.904568155,1031.238891,1013.878181,9.990468626,1014.505969,1061.422789,9.927676048,10.06168435,10.11858805,1012.812189,10.07041322,10.14546628,10.38405809,10.04139325,10.09138604,10.20139915,9.875735423,10.31581654,10.10554855,9.368944113,10.03090327,9.894958291,9.892450709,9.286618936,9.814981098,N/A,N/A,N/A,N/A,N/A,N/A
FALSE,010BLKV.d,4/23/2026 13:00,BlkVrfy,,std1,,<0.000,0.408333566,<0.000,0.072435837,<0.000,0.919915085,<0.000,0.007278122,<0.000,0.104340302,0.000523039,0.008158959,0.008873107,<0.000,0.008063739,3.19315E-05,0.068532266,0.001444455,0.00106836,0.30371444,0.002571847,0.006284739,0.011039857,0.043931431,0.000468981,N/A,N/A,N/A,N/A,N/A,N/A
FALSE,011SMPL.d,4/23/2026 13:04,Sample,,LBW 6.9,6/9/2025,<0.000,812.5080008,187.3236997,0.128703654,59.69099977,240.4476909,0.0002633,0.005408208,0.014285483,0.05776964,<0.000,<0.000,0.000527871,<0.000,0.008743782,<0.000,0.022599287,0.001452232,<0.000,0.115923923,0.643971322,0.001665147,<0.000,0.014334318,0.000788811,N/A,N/A,N/A,N/A,N/A,N/A
FALSE,012SMPL.d,4/23/2026 13:08,Sample,,LBW 6.16,6/16/2025,<0.000,939.1563861,217.3092353,0.224523148,67.63077691,334.3570296,<0.000,0.003522932,0.078768019,0.076458208,<0.000,0.001159406,<0.000,<0.000,0.003862851,<0.000,0.024238244,0.000642232,<0.000,0.06085599,0.907618453,0.0010434,<0.000,0.008038344,0.000543134,N/A,N/A,N/A,N/A,N/A,N/A
