Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,9  Be  [ He ] ,23  Na  [ He ] ,24  Mg  [ He ] ,27  Al  [ He ] ,39  K  [ He ] ,44  Ca  [ He ] ,51  V  [ He ] ,52  Cr  [ He ] ,55  Mn  [ He ] ,56  Fe  [ He ] ,59  Co  [ He ] ,60  Ni  [ He ] ,63  Cu  [ He ] ,66  Zn  [ He ] ,75  As  [ He ] ,78  Se  [ He ] ,95  Mo  [ He ] ,107  Ag  [ He ] ,111  Cd  [ He ] ,123  Sb  [ He ] ,135  Ba  [ He ] ,205  Tl  [ He ] ,208  Pb  [ He ] ,232  Th  [ He ] ,238  U  [ He ] ,45  Sc ( ISTD )  [ He ] ,74  Ge ( ISTD )  [ He ] ,89  Y ( ISTD )  [ He ] ,115  In ( ISTD )  [ He ] ,159  Tb ( ISTD )  [ He ] ,209  Bi ( ISTD )  [ He ] 
FALSE,003CALB.d,4/23/2026 12:34,CalBlk,1,std1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
FALSE,004CALS.d,4/23/2026 12:38,CalStd,2,std2,28.52789565,0.467069652,1.728925145,65.82256931,5.372090558,12.98258382,2.794708358,2.877848702,11.47097058,0.535818995,4.075131325,8.101319179,4.584712379,N/A,12.75422621,60.49483453,12.79604287,4.763246845,4.227054126,7.717801322,21.51689885,1.56402295,1.577033758,7.181867276,0.948401157,,,,,,
FALSE,005CALS.d,4/23/2026 12:42,CalStd,3,std3,11.69053357,0.815494982,0.93964239,11.2116386,1.377128807,3.955500133,0.818310759,2.315491428,1.026871541,0.141721697,1.019070692,2.344717821,2.131304435,4.824197527,1.839545847,12.67042672,4.203105638,0.63318267,2.157170865,0.833444183,3.00781025,0.393731864,0.585095219,6.063177686,0.740327739,,,,,,
FALSE,006CALS.d,4/23/2026 12:45,CalStd,4,std4,1.370844731,0.333627529,1.452868018,4.262728952,1.219795269,1.853312434,2.296826751,1.68424294,2.020466734,1.989160772,1.764938406,1.593064599,1.530267072,1.461588924,1.330271332,3.716435599,1.273101073,0.674879966,0.955847188,1.294238989,1.589501696,1.069394897,0.44249642,3.422581988,1.213701501,,,,,,
FALSE,007CALS.d,4/23/2026 12:49,CalStd,5,std5,0.490176134,1.0373002,3.891764805,3.61636668,3.943501663,3.583956124,3.441107899,3.097287218,3.417615705,3.269669494,2.808071049,2.664910637,3.03104361,3.075706914,2.419220964,1.918808853,0.804230624,0.607518617,0.701194213,1.732361963,0.656796231,0.727324568,0.301312313,0.935654389,0.484077182,,,,,,
FALSE,008SMPL.d,4/23/2026 12:53,Sample,,Rinse,N/A,44.830159,241.7931588,23.835511,N/A,167.3115635,78.97147031,71.10026365,N/A,31.20837523,371.0411662,34.61089209,78.24335061,N/A,12.738929,47.72329555,4.798593013,28.80870025,36.25909209,5.38288039,114.0081472,16.84049591,17.1585319,5.348207304,23.13534763,,,,,,
FALSE,009_QC1.d,4/23/2026 12:57,QC1,,std4,3.364568772,1.192242205,1.111117405,1.092060306,0.571349459,0.879341114,1.120012414,1.307281406,1.429150778,1.539427587,1.27907797,1.565835514,1.410725569,0.259142366,1.671972783,4.802222008,1.400111354,1.291813218,0.996163845,2.272036306,1.367509283,0.209339742,0.397466926,3.787955858,0.82024872,,,,,,
FALSE,010BLKV.d,4/23/2026 13:00,BlkVrfy,,std1,N/A,30.2391287,N/A,205.003911,N/A,65.83201629,N/A,49.05985839,N/A,24.33910458,110.7219433,73.036167,73.31794086,N/A,21.26123382,228345.7707,14.70924202,12.78170093,147.5971262,5.731210278,205.9428275,1.972330332,16.86821569,2.257994534,105.7409077,,,,,,
FALSE,011SMPL.d,4/23/2026 13:04,Sample,,LBW 6.9,N/A,0.892628458,2.424752733,123.9464419,3.057837339,1.017421511,324.5660445,73.13162651,9.829788708,10.98271742,N/A,N/A,1140.873985,N/A,25.26134806,N/A,75.97479088,46.12836204,N/A,2.437103325,6.032269398,18.67954286,N/A,8.586986516,39.77300811,,,,,,
FALSE,012SMPL.d,4/23/2026 13:08,Sample,,LBW 6.16,N/A,0.558784364,2.482738263,44.28817699,2.028040146,3.906887121,N/A,177.1874263,5.071632766,17.25778608,N/A,36.86923114,N/A,N/A,81.59955489,N/A,29.96712978,134.2338248,N/A,13.81848755,2.155966299,22.38428576,N/A,8.278345155,39.39341675,,,,,,
