Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Sample date,9  Be  [ He ] ,23  Na  [ He ] ,24  Mg  [ He ] ,27  Al  [ He ] ,39  K  [ He ] ,44  Ca  [ He ] ,51  V  [ He ] ,52  Cr  [ He ] ,55  Mn  [ He ] ,56  Fe  [ He ] ,59  Co  [ He ] ,60  Ni  [ He ] ,63  Cu  [ He ] ,66  Zn  [ He ] ,75  As  [ He ] ,78  Se  [ He ] ,95  Mo  [ He ] ,107  Ag  [ He ] ,111  Cd  [ He ] ,123  Sb  [ He ] ,135  Ba  [ He ] ,205  Tl  [ He ] ,208  Pb  [ He ] ,232  Th  [ He ] ,238  U  [ He ] ,45  Sc ( ISTD )  [ He ] ,74  Ge ( ISTD )  [ He ] ,89  Y ( ISTD )  [ He ] ,115  In ( ISTD )  [ He ] ,159  Tb ( ISTD )  [ He ] ,209  Bi ( ISTD )  [ He ] 
FALSE,003CALB.d,21/04/2026 12:34,CalBlk,1,std1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
FALSE,004CALS.d,21/04/2026 12:37,CalStd,2,std2,,0.007179441,1.269456556,1.945640926,<0.000,<0.000,97.53814713,0.011892351,8.69006E-05,0.02230169,0.98411383,0.010718157,0.014083913,0.005138928,<0.000,0.011991973,0.006227642,0.006471736,0.009187138,0.011512613,0.00811785,0.010419589,0.010106365,0.011529566,0.008483686,0.009492547,N/A,N/A,N/A,N/A,N/A,N/A
FALSE,005CALS.d,21/04/2026 12:41,CalStd,3,std3,,0.089743014,10.72953374,11.2644192,0.155691744,2.899637892,105.5567078,0.108590619,0.088553132,0.109092154,10.6265518,0.109033516,0.103171892,0.097935344,0.055739438,0.113350403,0.095657654,0.110302738,0.105446131,0.102274821,0.091316342,0.103406547,0.104094418,0.103216931,0.08759209,0.100726184,N/A,N/A,N/A,N/A,N/A,N/A
FALSE,006CALS.d,21/04/2026 12:45,CalStd,4,std4,,1.094864776,105.5009671,104.4740338,1.058561169,95.84110431,221.3379869,1.026502559,1.028495277,1.03689748,105.1170795,1.047404551,1.048734887,1.065838337,1.005697404,0.999295795,0.983194564,1.025611514,1.045577778,1.015655899,0.871224569,0.983775885,1.006768791,1.01406527,0.918051913,0.983053388,N/A,N/A,N/A,N/A,N/A,N/A
FALSE,007CALS.d,21/04/2026 12:49,CalStd,5,std5,,9.949987492,1044.292429,1021.890273,10.09620943,1026.312063,1115.775987,10.19318801,10.19697335,10.41878056,1028.546162,10.32513326,10.47729712,10.53418101,10.30187937,10.32405542,10.33646147,9.774727028,10.315195,10.16048395,9.165907434,9.976952431,10.00951479,10.00959795,9.616257669,9.702316397,N/A,N/A,N/A,N/A,N/A,N/A
FALSE,008CALS.d,21/04/2026 12:53,CalStd,6,std6,,100.0040631,9995.514991,9997.764873,99.98973949,9997.418337,9987.103811,99.98040739,99.98003015,99.95774265,9997.093588,99.96700352,99.95177936,99.94592607,99.96980488,99.96758795,99.96652663,100.0222612,99.96801936,99.98379262,100.0847059,100.0024635,99.99897673,99.99889618,100.0392063,100.0299372,N/A,N/A,N/A,N/A,N/A,N/A
FALSE,010_QC1.d,21/04/2026 13:00,QC1,,std4,,10.36402586,1039.713584,1048.170845,10.19761008,1036.476238,1105.274489,10.33478416,10.44455035,10.40921235,1046.042199,10.43296353,10.57384432,10.60829579,10.40592238,10.39280826,10.74242467,9.928043097,10.25556816,10.09590137,9.465666573,10.09779715,10.10331669,10.13942472,9.803073432,9.948432552,N/A,N/A,N/A,N/A,N/A,N/A
FALSE,011BLKV.d,21/04/2026 13:04,BlkVrfy,,std1,,0,8.558089881,0.583946421,0.131274581,<0.000,46.66614367,0.000430277,0.025267667,0.019172607,0.300402515,0.049413374,0.04300683,0.025651649,0.061030352,0.012207222,0.080326494,0.063391777,0.002006092,0.001398685,0.31490382,0.021845538,0.000520721,0.008445336,0.018063573,0.000352813,N/A,N/A,N/A,N/A,N/A,N/A
FALSE,024SMPL.d,21/04/2026 13:51,Sample,,MGV 6.1,06/06/2025,0.002393147,OR,1089180.446,5.448708142,449417.4421,434008.8129,0.33193149,0.100847409,6.554309401,0.595384644,0.027409491,0.071659662,0.508403229,24.72614777,2.933795635,0.392239325,2.623430654,0.010039318,0.002404364,0.445383328,11.00362592,0.00649089,0.60784856,0.012258344,0.74657948,N/A,N/A,N/A,N/A,N/A,N/A
FALSE,025SMPL.d,21/04/2026 13:55,Sample,,MGV 6.16,15/06/2025,0.001196574,2760047.278,1010827.482,5.000222892,364601.7497,401049.5539,0.325411969,0.171434012,10.32000963,0.736264157,0.031656248,0.071022452,0.559877138,22.55828728,3.253572827,0.178808196,3.36198965,0.027042301,0.003678071,0.370764787,11.70476667,0.00272415,0.448793582,0.00887673,0.929216939,N/A,N/A,N/A,N/A,N/A,N/A
