Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Sample date,9  Be  [ He ] ,23  Na  [ He ] ,24  Mg  [ He ] ,27  Al  [ He ] ,39  K  [ He ] ,44  Ca  [ He ] ,51  V  [ He ] ,52  Cr  [ He ] ,55  Mn  [ He ] ,56  Fe  [ He ] ,59  Co  [ He ] ,60  Ni  [ He ] ,63  Cu  [ He ] ,66  Zn  [ He ] ,75  As  [ He ] ,78  Se  [ He ] ,95  Mo  [ He ] ,107  Ag  [ He ] ,111  Cd  [ He ] ,123  Sb  [ He ] ,135  Ba  [ He ] ,205  Tl  [ He ] ,208  Pb  [ He ] ,232  Th  [ He ] ,238  U  [ He ] ,45  Sc ( ISTD )  [ He ] ,74  Ge ( ISTD )  [ He ] ,89  Y ( ISTD )  [ He ] ,115  In ( ISTD )  [ He ] ,159  Tb ( ISTD )  [ He ] ,209  Bi ( ISTD )  [ He ] 
FALSE,003CALB.d,21/04/2026 12:34,CalBlk,1,std1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
FALSE,004CALS.d,21/04/2026 12:37,CalStd,2,std2,,28.86751346,21.27417484,6.152593006,N/A,N/A,3.184468922,9.703615074,2977.004272,37.53832903,2.191697785,14.57212213,16.73288536,122.7528015,N/A,14.84595325,243.6884346,77.45410724,7.414465037,0.881101354,60.18215031,50.424793,16.83270633,6.003692667,7.035977408,8.588219163,,,,,,
FALSE,005CALS.d,21/04/2026 12:41,CalStd,3,std3,,19.73153145,1.054872524,3.870530751,45.98148342,44.72959607,7.932376959,4.480871144,11.25073678,15.03042274,3.718775862,1.467385704,4.232375308,11.90143049,48.09917181,6.404132255,30.76574538,6.221234037,3.581367205,4.034153269,6.016675123,4.393235083,1.671685207,2.624227902,0.675188819,3.917257395,,,,,,
FALSE,006CALS.d,21/04/2026 12:45,CalStd,4,std4,,4.40289335,0.634182566,1.99033597,9.065583724,0.306957061,1.355585871,1.158441317,2.228662465,2.13169536,0.664874039,1.918585653,2.605477513,0.937969352,8.571849526,2.706408722,9.33930965,3.503987385,0.226639031,1.992661854,0.730906112,1.423263304,1.287487474,0.766859049,1.689345708,1.013063947,,,,,,
FALSE,007CALS.d,21/04/2026 12:49,CalStd,5,std5,,2.332189896,0.579056761,1.732765274,7.485690134,1.301456843,1.777678161,1.175025356,1.666789682,1.393520224,1.43877479,1.216305597,1.073034025,1.372699598,2.161185053,1.043934002,7.319454679,0.663602184,1.152874545,1.276957223,2.043641962,2.159843445,0.641754109,0.119719056,1.115482221,0.706937225,,,,,,
FALSE,008CALS.d,21/04/2026 12:53,CalStd,6,std6,,0.320509178,0.735768924,0.345442359,0.643655407,0.911913331,0.526855399,0.54934107,0.83544931,0.517256139,0.969379313,0.718081028,0.110640793,0.509931766,0.347546767,1.029857292,2.381308489,0.664642093,0.394708027,0.417672283,1.021317372,0.545105763,1.471042849,0.58379357,0.547457973,0.313164381,,,,,,
FALSE,010_QC1.d,21/04/2026 13:00,QC1,,std4,,0.310441698,0.300625514,1.319699189,1.905390817,1.104420085,2.811521553,2.119080744,0.86824408,1.405688463,1.361483488,1.575494492,1.52692902,1.583493599,1.235872265,2.019759235,3.896207676,1.317682406,0.509916113,0.867746179,2.17285048,0.760781562,0.085569417,0.136864565,0.939170568,0.432442343,,,,,,
FALSE,011BLKV.d,21/04/2026 13:04,BlkVrfy,,std1,,N/A,1.454257599,20.37934355,90.82819748,N/A,13.68146193,155.5589425,24.53683385,2.251996256,6.438813865,5.153061332,11.79501436,6.675740002,32.99798385,27.12813522,37.01168286,14.97427864,16.55289085,58.46019426,4.597322625,25.12036057,26.34114666,11.47815357,2.517442619,69.59538131,,,,,,
FALSE,024SMPL.d,21/04/2026 13:51,Sample,,MGV 6.1,06/06/2025,86.60254038,OR,1.246108124,9.884535264,1.759141942,1.941942369,4.782763277,9.48747247,1.484713411,3.676613455,10.59695164,28.494242,8.852133946,1.365133406,1.598364027,21.80974315,2.611087284,39.4399759,53.04792064,5.157450245,2.607368976,66.53585846,5.860066596,5.472174691,1.551771891,,,,,,
FALSE,025SMPL.d,21/04/2026 13:55,Sample,,MGV 6.16,15/06/2025,519.6152423,6.008273677,1.055783534,16.18673698,1.468918326,1.004380649,7.231899831,12.31066812,1.295550733,9.00163178,6.965077444,14.17552671,5.963628917,1.608999597,1.969209086,5.20786995,5.012655528,12.86119926,93.90712484,13.67575083,0.73900582,21.55360863,2.897562415,28.90709613,1.885956416,,,,,,
