Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	BW 90% (Hz)
1	Spectrogram 1	1	26.319086339	26.909538395	65.948	1384.903	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	26.3191	351.562	70.312	1265.625	1195.312
2	Spectrogram 1	1	38.228629942	38.743705140	21.983	1406.886	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	38.2286	257.812	23.438	1242.188	1218.750
3	Spectrogram 1	1	50.879379318	51.331640468	153.878	1340.938	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	50.8794	445.312	164.062	1242.188	1078.125
4	Spectrogram 1	1	18.304013745	18.806526133	219.826	1846.538	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	18.3040	726.562	257.812	1757.812	1500.000
5	Spectrogram 1	1	40.326619164	40.816568742	219.826	1231.025	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	40.3266	515.625	257.812	1125.000	867.188
6	Spectrogram 1	1	21.419590553	21.846726083	219.826	1450.851	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	21.4196	585.938	257.812	1335.938	1078.125
7	Spectrogram 1	1	1200.477386769	1201.030150396	0.000	1187.060	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	0.4774	234.375	23.438	1054.688	1031.250
8	Spectrogram 1	1	1204.585425544	1205.163314790	131.896	857.321	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	4.5854	492.188	140.625	796.875	656.250
9	Spectrogram 1	1	1209.811554382	1210.251252722	241.809	989.217	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	9.8116	539.062	257.812	960.938	703.125
10	Spectrogram 1	1	1213.479894817	1213.957281586	263.791	989.217	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	13.4799	562.500	281.250	960.938	679.688
