Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	BW 90% (Hz)
1	Spectrogram 1	1	17.085421203	17.512556733	0.0	938.1	S1130_048K_MGV_10457639_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250526_150000.flac	17.0854	187.500	23.438	679.688	656.250
2	Spectrogram 1	1	18.819088943	19.183410425	0.0	1002.0	S1130_048K_MGV_10457639_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250526_150000.flac	18.8191	210.938	23.438	679.688	656.250
3	Spectrogram 1	1	19.518078491	19.957776831	0.0	1172.6	S1130_048K_MGV_10457639_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250526_150000.flac	19.5181	210.938	23.438	703.125	679.688
4	Spectrogram 1	1	18.852249577	19.920088402	1769.5	2622.3	S1130_048K_MGV_10457639_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250526_150000.flac	18.8523	2203.125	1804.688	2554.688	750.000
5	Spectrogram 1	1	26.389935402	27.269332081	1577.7	2643.7	S1130_048K_MGV_10457639_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250526_150000.flac	26.3899	2085.938	1640.625	2578.125	937.500
6	Spectrogram 1	1	35.573349298	36.641188123	1641.6	2622.3	S1130_048K_MGV_10457639_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250526_150000.flac	35.5734	2132.812	1687.500	2554.688	867.188
7	Spectrogram 1	1	57.420075381	57.734145624	0.0	1002.0	S1130_048K_MGV_10457639_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250526_150000.flac	57.4201	210.938	23.438	679.688	656.250
8	Spectrogram 1	1	8.165826310	8.505022172	127.9	1129.9	S1130_048K_MGV_10457639_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250526_150000.flac	8.1658	492.188	140.625	750.000	609.375
9	Spectrogram 1	1	7.625625493	7.914570116	170.6	1066.0	S1130_048K_MGV_10457639_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250526_150000.flac	7.6256	515.625	234.375	750.000	515.625
10	Spectrogram 1	1	5.590450320	5.866832134	149.2	980.7	S1130_048K_MGV_10457639_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP MGV\S1130_048K_MGV_10457639_20250526_150000.flac	5.5905	515.625	164.062	726.562	562.500
