Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)
1	Spectrogram 1	1	16.871853438	17.047732774	22.0	1187.1	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	16.8719
2	Spectrogram 1	1	19.510043477	19.685922813	44.0	2066.4	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	19.5100
3	Spectrogram 1	1	26.344211958	26.909538395	65.9	1384.9	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	26.3442
4	Spectrogram 1	1	38.241192752	38.706016711	87.9	1384.9	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	38.2412
5	Spectrogram 1	1	4.685928021	5.376882555	351.7	1209.0	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	4.6859
6	Spectrogram 1	1	18.278888126	18.379390603	219.8	1824.6	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	18.2789
7	Spectrogram 1	1	18.668335226	18.793963324	219.8	1692.7	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	18.6683
8	Spectrogram 1	1	18.442204652	18.580395559	175.9	1648.7	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	18.4422
9	Spectrogram 1	1	9.912056860	10.062810576	219.8	1231.0	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	9.9121
10	Spectrogram 1	1	7.386932108	7.525123015	351.7	1077.1	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	7.3869
11	Spectrogram 1	1	9.535172569	9.773865953	1560.8	2022.4	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	9.5352
12	Spectrogram 1	1	10.100499005	10.339192390	1560.8	2022.4	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	10.1005
13	Spectrogram 1	1	25.791448331	25.891950809	263.8	1297.0	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	25.7915
14	Spectrogram 1	1	21.469841791	21.620595508	307.8	1428.9	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	21.4698
15	Spectrogram 1	1	25.942202048	26.080392954	219.8	1143.1	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	25.9422
16	Spectrogram 1	1	21.645721127	21.821600463	241.8	1275.0	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	21.6457
17	Spectrogram 1	1	32.864310197	33.015063913	285.8	3055.6	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	32.8643
18	Spectrogram 1	1	34.987425038	35.163304373	307.8	2835.8	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	34.9874
19	Spectrogram 1	1	35.917072956	36.080389482	307.8	2923.7	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	35.9171
20	Spectrogram 1	1	54.409528846	54.723599089	22.0	3847.0	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	54.4095
21	Spectrogram 1	1	40.364307593	40.778880313	241.8	1253.0	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	40.3643
22	Spectrogram 1	1	50.891942128	51.042695845	175.9	1253.0	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	50.8919
