Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)	Center Freq (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	BW 90% (Hz)	Source	Shape	Pulses
1	Spectrogram 1	1	26.319100000	26.909552060	65.948	1384.903	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	26.3191	351.562	70.312	1265.625	1195.312	fish		many
2	Spectrogram 1	1	38.228600000	38.743675200	21.983	1406.886	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	38.2286	257.812	23.438	1242.188	1218.750	fish		many
3	Spectrogram 1	1	50.879400000	51.331661150	153.878	1340.938	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	50.8794	445.312	164.062	1242.188	1078.125	fish		2
4	Spectrogram 1	1	18.304000000	18.806512380	219.826	1846.538	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	18.3040	726.562	257.812	1757.812	1500.000	fish		3
5	Spectrogram 1	1	40.326600000	40.816549580	219.826	1231.025	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	40.3266	515.625	257.812	1125.000	867.188	fish		2
6	Spectrogram 1	1	21.419600000	21.846735530	219.826	1450.851	S1130_048K_LVR_10458035_20250526_150000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_150000.flac	21.4196	585.938	257.812	1335.938	1078.125	fish		2
7	Spectrogram 1	1	600.477400000	601.030163000	0.000	1187.060	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	0.4774	234.375	23.438	1054.688	1031.250	fish		3
8	Spectrogram 1	1	604.585400000	605.163289000	131.896	857.321	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	4.5854	492.188	140.625	796.875	656.250	fish		3
9	Spectrogram 1	1	609.811600000	610.251299000	241.809	989.217	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	9.8116	539.062	257.812	960.938	703.125	fish		3
10	Spectrogram 1	1	613.479900000	613.957287000	263.791	989.217	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	13.4799	562.500	281.250	960.938	679.688	fish		4
11	Spectrogram 1	1	638.630600000	639.082861000	329.739	1011.199	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	38.6306	609.375	351.562	984.375	632.812	fish		3
12	Spectrogram 1	1	638.881900000	639.547729000	87.930	857.321	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	38.8819	398.438	93.750	773.438	679.688	fish		4
13	Spectrogram 1	1	634.761300000	635.138185000	285.774	1912.486	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	34.7613	890.625	328.125	1781.250	1453.125	fish		4
14	Spectrogram 1	1	635.464800000	635.728619000	329.739	1604.729	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	35.4648	750.000	375.000	1476.562	1101.562	fish		2
15	Spectrogram 1	1	636.809000000	637.148196000	329.739	1714.642	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	36.8090	820.312	375.000	1593.750	1218.750	fish		2
16	Spectrogram 1	1	621.118100000	621.331668000	21.983	2176.277	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	21.1181	328.125	23.438	1898.438	1875.000	fish		2
17	Spectrogram 1	1	644.007500000	644.447199000	373.704	923.269	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	44.0075	609.375	375.000	890.625	515.625	fish		3
18	Spectrogram 1	1	644.082900000	644.798980000	65.948	923.269	S1130_048K_LVR_10458035_20250526_153000.flac	\\ag-clo-repnas5.ad.cornell.edu\w\projects\2019_YCCB_Bermuda_S1130\Killifish\Audio Data\2025 BDAKFP LVR\S1130_048K_LVR_10458035_20250526_153000.flac	44.0829	375.000	70.312	820.312	750.000	fish		3
