freq_band,site,dates,call_density,hour,groupy
high,LVR,2025-05-26T16:30:00Z,4,13,4
high,LVR,2025-05-26T18:30:00Z,11,15,5
high,LVR,2025-05-26T19:30:00Z,10,16,5
high,LVR,2025-05-26T21:30:00Z,45,18,6
high,LVR,2025-05-26T22:00:00Z,88,19,6
high,LVR,2025-05-26T22:30:00Z,134,19,6
high,LVR,2025-05-26T23:00:00Z,72,20,6
high,LVR,2025-05-26T23:30:00Z,133,20,6
high,LVR,2025-05-27T00:00:00Z,116,21,7
high,LVR,2025-05-27T00:30:00Z,85,21,7
high,LVR,2025-05-27T01:00:00Z,95,22,7
high,LVR,2025-05-27T01:30:00Z,108,22,7
high,LVR,2025-05-27T02:00:00Z,120,23,7
high,LVR,2025-05-27T02:30:00Z,113,23,7
high,LVR,2025-05-27T03:00:00Z,141,0,0
high,LVR,2025-05-27T03:30:00Z,191,0,0
high,LVR,2025-05-27T04:00:00Z,159,1,0
high,LVR,2025-05-27T04:30:00Z,247,1,0
high,LVR,2025-05-27T05:00:00Z,133,2,0
high,LVR,2025-05-27T05:30:00Z,159,2,0
high,LVR,2025-05-27T06:00:00Z,103,3,1
high,LVR,2025-05-27T06:30:00Z,138,3,1
high,LVR,2025-05-27T07:00:00Z,153,4,1
high,LVR,2025-05-27T07:30:00Z,131,4,1
high,LVR,2025-05-27T08:00:00Z,97,5,1
high,LVR,2025-05-27T08:30:00Z,133,5,1
high,LVR,2025-05-27T09:00:00Z,88,6,2
high,LVR,2025-05-27T09:30:00Z,74,6,2
high,LVR,2025-05-27T10:00:00Z,53,7,2
high,LVR,2025-05-27T10:30:00Z,63,7,2
high,LVR,2025-05-27T11:00:00Z,15,8,2
high,LVR,2025-05-27T11:30:00Z,6,8,2
high,LVR,2025-05-27T13:00:00Z,3,10,3
high,LVR,2025-05-27T13:30:00Z,2,10,3
high,MGV,2025-05-26T23:00:00Z,40,20,6
high,MGV,2025-05-26T23:30:00Z,51,20,6
high,MGV,2025-05-27T00:00:00Z,39,21,7
high,MGV,2025-05-27T00:30:00Z,1,21,7
high,MGV,2025-05-27T01:00:00Z,1,22,7
high,MGV,2025-05-27T06:30:00Z,4,3,1
high,MGV,2025-05-27T07:00:00Z,7,4,1
high,MGV,2025-05-27T08:00:00Z,12,5,1
high,MGV,2025-05-27T08:30:00Z,38,5,1
high,MGV,2025-05-27T09:00:00Z,12,6,2
high,MGV,2025-05-27T03:30:00Z,0,0,0
high,MGV,2025-05-27T13:30:00Z,0,10,3
high,MGV,2025-05-27T15:30:00Z,0,12,4
high,MGV,2025-05-27T18:30:00Z,0,15,5
low,LVR,2025-05-26T15:00:00Z,9,12,4
low,LVR,2025-05-26T15:30:00Z,69,12,4
low,LVR,2025-05-26T16:00:00Z,56,13,4
low,LVR,2025-05-26T16:30:00Z,36,13,4
low,LVR,2025-05-26T17:00:00Z,11,14,4
low,LVR,2025-05-26T17:30:00Z,5,14,4
low,LVR,2025-05-26T18:30:00Z,20,15,5
low,LVR,2025-05-26T19:00:00Z,10,16,5
low,LVR,2025-05-26T19:30:00Z,10,16,5
low,LVR,2025-05-26T20:00:00Z,19,17,5
low,LVR,2025-05-26T20:30:00Z,2,17,5
low,LVR,2025-05-26T21:00:00Z,15,18,6
low,LVR,2025-05-26T21:30:00Z,18,18,6
low,LVR,2025-05-26T22:00:00Z,65,19,6
low,LVR,2025-05-26T22:30:00Z,48,19,6
low,LVR,2025-05-26T23:00:00Z,7,20,6
low,LVR,2025-05-26T23:30:00Z,35,20,6
low,LVR,2025-05-27T00:00:00Z,100,21,7
low,LVR,2025-05-27T00:30:00Z,8,21,7
low,LVR,2025-05-27T01:00:00Z,57,22,7
low,LVR,2025-05-27T01:30:00Z,63,22,7
low,LVR,2025-05-27T02:00:00Z,13,23,7
low,LVR,2025-05-27T02:30:00Z,24,23,7
low,LVR,2025-05-27T03:00:00Z,41,0,0
low,LVR,2025-05-27T03:30:00Z,34,0,0
low,LVR,2025-05-27T04:00:00Z,52,1,0
low,LVR,2025-05-27T04:30:00Z,23,1,0
low,LVR,2025-05-27T05:00:00Z,90,2,0
low,LVR,2025-05-27T05:30:00Z,57,2,0
low,LVR,2025-05-27T06:00:00Z,31,3,1
low,LVR,2025-05-27T06:30:00Z,52,3,1
low,LVR,2025-05-27T07:00:00Z,37,4,1
low,LVR,2025-05-27T07:30:00Z,13,4,1
low,LVR,2025-05-27T08:00:00Z,45,5,1
low,LVR,2025-05-27T08:30:00Z,54,5,1
low,LVR,2025-05-27T09:00:00Z,48,6,2
low,LVR,2025-05-27T09:30:00Z,41,6,2
low,LVR,2025-05-27T10:00:00Z,54,7,2
low,LVR,2025-05-27T10:30:00Z,51,7,2
low,LVR,2025-05-27T11:00:00Z,41,8,2
low,LVR,2025-05-27T11:30:00Z,18,8,2
low,LVR,2025-05-27T12:00:00Z,48,9,3
low,LVR,2025-05-27T12:30:00Z,17,9,3
low,LVR,2025-05-27T13:00:00Z,38,10,3
low,LVR,2025-05-27T13:30:00Z,26,10,3
low,LVR,2025-05-27T14:00:00Z,35,11,3
low,LVR,2025-05-27T14:30:00Z,35,11,3
low,MGV,2025-05-26T15:00:00Z,43,12,4
low,MGV,2025-05-26T15:30:00Z,36,12,4
low,MGV,2025-05-26T16:00:00Z,60,13,4
low,MGV,2025-05-26T16:30:00Z,37,13,4
low,MGV,2025-05-26T17:00:00Z,40,14,4
low,MGV,2025-05-26T17:30:00Z,41,14,4
low,MGV,2025-05-26T18:00:00Z,41,15,5
low,MGV,2025-05-26T18:30:00Z,26,15,5
low,MGV,2025-05-26T19:00:00Z,91,16,5
low,MGV,2025-05-26T19:30:00Z,24,16,5
low,MGV,2025-05-26T20:00:00Z,16,17,5
low,MGV,2025-05-26T20:30:00Z,7,17,5
low,MGV,2025-05-26T21:00:00Z,60,18,6
low,MGV,2025-05-26T21:30:00Z,38,18,6
low,MGV,2025-05-26T22:00:00Z,30,19,6
low,MGV,2025-05-26T22:30:00Z,17,19,6
low,MGV,2025-05-26T23:00:00Z,5,20,6
low,MGV,2025-05-26T23:30:00Z,130,20,6
low,MGV,2025-05-27T00:00:00Z,32,21,7
low,MGV,2025-05-27T00:30:00Z,7,21,7
low,MGV,2025-05-27T01:00:00Z,36,22,7
low,MGV,2025-05-27T01:30:00Z,13,22,7
low,MGV,2025-05-27T02:00:00Z,4,23,7
low,MGV,2025-05-27T02:30:00Z,6,23,7
low,MGV,2025-05-27T03:00:00Z,14,0,0
low,MGV,2025-05-27T03:30:00Z,43,0,0
low,MGV,2025-05-27T04:00:00Z,33,1,0
low,MGV,2025-05-27T04:30:00Z,22,1,0
low,MGV,2025-05-27T05:00:00Z,29,2,0
low,MGV,2025-05-27T05:30:00Z,29,2,0
low,MGV,2025-05-27T06:00:00Z,40,3,1
low,MGV,2025-05-27T06:30:00Z,29,3,1
low,MGV,2025-05-27T07:00:00Z,26,4,1
low,MGV,2025-05-27T07:30:00Z,3,4,1
low,MGV,2025-05-27T08:00:00Z,47,5,1
low,MGV,2025-05-27T08:30:00Z,23,5,1
low,MGV,2025-05-27T09:00:00Z,26,6,2
low,MGV,2025-05-27T09:30:00Z,121,6,2
low,MGV,2025-05-27T10:30:00Z,64,7,2
low,MGV,2025-05-27T11:30:00Z,63,8,2
low,MGV,2025-05-27T12:00:00Z,95,9,3
low,MGV,2025-05-27T12:30:00Z,37,9,3
low,MGV,2025-05-27T13:00:00Z,66,10,3
low,MGV,2025-05-27T13:30:00Z,65,10,3
low,MGV,2025-05-27T14:00:00Z,34,11,3
low,MGV,2025-05-27T14:30:00Z,44,11,3
